GPA,Gender,breakfast,calories_day,coffee,comfort_food,cuisine,eating_changes_coded1,father_education,father_profession,fav_cuisine,fav_cuisine_coded,fav_food,fries,fruit_day,marital_status,mother_education,mother_profession
3.7,1,1,3,2,"Mashed potatoes, pasta",1,2,2,Realtor,Any type of Colombian cuisine,2,1,1,4,nan,1,Janitor
3.83,1,1,3,2,"Pasta dishes, Cheesecake, Pancakes",1,5,4,Solar Engineering ,Mexican cuisine,2,3,1,5,2,3,Yoga Instructor 
3,1,1,3,2,"Chinese food, moes, sponge candy, homemade lasagne ",1,5,2,Service Technition,Chinese food,4,3,1,5,1,4,Sales Manager at Business First
3,1,1,3,2,"Chinese food, moes, sponge candy, homemade lasagne ",1,5,2,Service Technition,Chinese food,4,3,1,5,1,4,Sales Manager at Business First
3.2,2,1,3,1,"pizza, pasta, mac and cheese",1,3,4,engineer ,mac and cheese,5,2,1,4,1,5,principal 
3.5,2,2,4,2,"Little Debbie snacks, donuts, pizza",1,5,2,handyman,Mexican,2,1,1,4,1,nan,home cleaner
3.2,1,1,3,2,"carrots, plantain chips, almonds, popcorn ",nan,5,4,cross-guard ,Authentic Chinese and Vietnamese food ,4,1,2,5,1,2,A teacher 
3.68,2,1,4,2,"chips, ice cream, fruit snacks",nan,5,2,Project manager,italian and chinese,One,1,1,5,1,3,Secretary 
3.8,1,2,2,193732,"Macaroni and cheese, chicken noodle soup, pizza",1,3,5,Teacher,American,5,3,1,2,2,5,nan
3.3,2,2,nan,2,"Chocolate, Chips, Ice cream, French Fires, Pizza",1,5,2,T$,Barbecue ,5,1,1,1,2,3,Customer Service Representative 
3.2,2,1,nan,2,"Mac and cheese, lasagna, Chinese food ",1,2,5,Senior Manager,Italian,1,1,1,4,1,4,Stay at home mother
3.75,2,1,3,2,"candy, Chinese, mcdonalds",nan,3,4,information systems architect,lebanese or greek,1,1,1,5,2,4,teacher
3.5,2,1,nan,2,"Doritos, mac and cheese, ice cream",1,2,4,Supervisor,American,5,3,1,4,2,4,Treasurer
3.92,2,1,3,2,"Ice cream, cake, pop, pizza, and milkshakes.",2,5,2,Delivery Man For Fritolay,Italian,1,3,1,3,1,5,Special Ed Teacher
3.9,1,1,3,2,"Mac and Cheese, Pizza, Ice Cream and French Fries ",1,5,5,nan,Italian,1,1,1,5,1,3,Accountant 
3.9,2,1,3,1,"Soup, pasta, cake",6,5,4,Business Owner,Italian,1,nan,1,5,2,2,Homemaker
3.2,1,1,4,1,"mac & cheese, frosted brownies, chicken nuggs",2,5,3,business owner,italian,1,1,1,5,2,4,certified accountant
3.5,1,1,3,2,"watermelon, grapes, ice cream",1,3,2,Beacon Light ,Italian ,1,1,1,5,2,2,nan
3.4,1,1,nan,2,"macaroni and cheese, stuffed peppers, hamburgers, french fries",1,11,4,salesman,sushi,4,3,1,5,1,4,social worker
nan,1,1,4,2,"Pizza, mashed potatoes, spaghetti",1,5,5,Mechanical Engineer,Italian,1,3,1,5,1,5,Secretary
3.7,1,1,3,2,"dark chocolate, terra chips, reese's cups(dark chocolate), and bread/crackers with cottage cheese",1,3,4,GE Salesman,Indian food,8,1,1,5,1,4,Respiratory Therapist
Unknown,1,1,3,2,"Chips, chocolate, ,mozzarella sticks ",1,2,4,Business Owner,Italian ,1,3,1,4,1,3,Substitute Secretary
3,1,1,3,2,"ice cream, chips, candy",1,10,4,Ford Plant employee,Italian,1,3,1,3,2,3,Insurance Coordinator
3,1,1,3,2,"Pizza, soda, chocolate brownie, chicken tikka masala and butter naan ",nan,12,5,Clinical Researcher,Nepali,4,1,1,5,1,4,Supervisor
3.8,1,1,3,1,"Chocolate, Pasta, Cookies",1,2,3,Retired ,I really love italian food and thai food,1,3,1,4,1,3,Travel Agent
3.8,1,1,2,2,"Candy, salty snacks, toast",1,2,4,Sales,Italian,1,2,1,5,2,3,Real Estate
3.4,1,1,3,2,"Mac in cheese, pizza, mozzarella sticks ",1,5,5,School Library Media Specialist ,I,1,2,1,4,1,5,School Library Media Specialist 
3.7,1,1,3,1,"Ice-cream, pizza, chocolate",2,3,4,Retired,Italian,1,1,1,3,2,4,Deceased
2.9,2,1,2,2,"snacks, chips, ",nan,5,2,nan,nan,0,1,1,3,1,2,nan
3.9,1,1,4,2,"Chocolate, Ice cream, pizza",1,5,5,Mechanical Engineer ,Italian ,1,3,1,5,2,5,Fourth Grade Teacher 
3.6,1,1,2,1,"ice cream, pizza, Chinese food ",1,2,4,Teacher,Italian ,1,1,1,4,2,4,Accountant 
2.8,2,1,3,2,"Burgers, indian and korean food",4,10,5,Politician,Korean,4,3,1,4,2,5,"Works in WWF, world wild life fund"
3.3,2,1,4,2,"chocolate bar, ice cream, pretzels, potato chips and protein bars.",1,3,5,Pharmaceutical,I do not like cuisine,0,3,1,5,2,5,nan
3.4,1,1,nan,2,"Ice cream, chocolate, pizza, cucumber ",nan,3,3,Business Man,Chinese ,4,2,1,5,1,3,Business Woman
3.77,1,1,nan,2,"Noodle ( any kinds of noodle), Tuna sandwich, and Egg.",4,5,2,His own business,Vietnamese cuisine,4,3,1,3,1,2,Her own business
3.63,1,1,3,1,"Chinese, chips, cake",1,5,2,HVAC technician ,American ,5,1,1,5,2,2,Grieveance coordinator of the SCI albion prison 
3.2,2,1,3,2,"chips, rice, chicken curry,",5,5,5,United Nations,Indian,8,3,1,5,2,5,Banker
3.5,1,1,4,2,"wine. mac and cheese, pizza, ice cream ",1,3,4,Accountant ,Italian ,1,1,1,5,1,3,Radiological Technician 
3,1,1,2,2,Pizza / Wings / Cheesecake,nan,3,5,Doctor,Mexican Food,2,1,1,4,1,2,Public Health Advisor 
3.882,1,1,nan,1,"rice, potato, seaweed soup",nan,3,5,CEO of company,Korean,4,1,1,4,1,1,Real Estate manageer
3,2,1,4,1,"Mac n Cheese, Lasagna, Pizza",1,8,3,Store manager at Giant Eagle,Italian,1,3,1,5,1,2,Receptionist for a medical supply company
3.9,1,1,nan,2,"Chocolates, pizza, and Ritz.",3,5,4,Journalist,HISPANIC CUISINE.,2,1,1,3,2,3,House-wife
3.9,1,1,nan,2,"Chocolates, pizza, and Ritz.",3,5,4,Journalist,HISPANIC CUISINE.,2,1,1,3,2,3,House-wife
