StudioID,Studio
141,Interscope Communications
142,Dark Horse Entertainment
143,Mark Gordon Productions
144,Motion Picture Corporation of America
145,Geffen Pictures
146,Blue Wolf Productions
147,TriStar Pictures
148,Hughes Entertainment
149,Castle Rock Entertainment
150,Strong Heart/Demme Production
151,Orion Pictures
152,Eddie Murphy Productions
153,Rastar
154,Kennedy Miller
155,Rimfire Films
156,Mirage Studios
157,Lorimar Productions
158,Astral Media
159,Handmade Films
160,Zoetrope Studios
161,Henson Associates
162,Laurel Group
163,Sellers-Edwards Productions
164,EMI Films
165,Joseph E. Levine Productions
166,Allied Artists
167,The Mirisch Production Company
168,Hawk Films
169,Alfred J. Hitchcock Productions
170,Horizon Pictures
171,Samuel Bronston Productions
172,Pathe
173,Bryna Productions
174,Shamley Productions
175,Selznick International Pictures
176,Bing Crosby Productions
177,Romulus Films
178,Transatlantic Pictures
179,Cosmopolitan Productions
180,Charles Chaplin Film Corporation
181,Seven Arts Productions
182,Mercury Productions
183,Universum Film
184,London Film Productions
185,Liberty Films
186,Cineguild
187,Ortus Films
188,Two Cities Films
189,Sierra Pictures
190,Python (Monty) Pictures
191,Seasonal Film Corporation
192,Lo Wei Motion Picture Company
193,Good Year Movie Company
194,Eastern Productions
195,StudioCanal
196,EuropaCorp
197,We Pictures
198,Cinema City
199,Golden Princess Film Production Limited
200,Film Workshop
201,PT. Merantau Films
202,Baa-Ram-Ewe
203,Sahamongkol Film International
204,Dreams Salon Entertainment
205,Daiei Film
206,Moving Picture Company
207,Omega Project
208,Recorded Picture Company
209,Asahi National Broadcasting Company
210,Hasbro Studios
211,Bandai Visual Company
212,AM Associates
213,Toei Kyoto
214,Rankin/Bass Productions
215,TV Tokyo
216,Sedic International
217,Eisei Gekijo
218,La Petite Reine
219,Rogue Pictures
220,Why Not Productions
221,FilmFour Productions
222,BBC Films
223,Baby Cow Productions
224,Azari Media
225,Blueprint Pictures
226,Mythic International Entertainment
228,Lionsgate
229,Open Road Films
230,Beacon Pictures
231,White Mountain Films
232,RAF Industires
234,Plan B Entertainment
235,Marv Films
236,Tim Burton Productions
237,Ealing Studios
238,Kings Road Entertainment
239,The Cannon Group
240,Stanley Kubrick Productions
241,Nikkatsu
242,Act III Communications
243,First Artists
244,ABC Pictures
245,View Askew Productions
246,Vertigo Films
247,FilmDistrict
248,Embassy International
249,Troublemaker Studios
250,Double Feature Films
251,Fuqua Films
252,Artisan Entertainment
253,Black Bear Pictures
255,Yellow Bird
256,Svensk Filmindustri
257,This Is That
258,The Weinstein Company
259,Egoli Tossell Film
260,UK Film Council
261,Hammer Film Productions
262,Commonwealth United Entertainment
263,BHE Films
264,Cannon Productions
265,Wise Owl Studios
