DirectorID,FirstName,FamilyName,FullName,DoB,DoD
123,Morgan,Spurlock,Morgan Spurlock,07-11-1970,
124,Ken,Hughes,Ken Hughes,19-01-1922,28-04-2001
125,David,Bowers,David Bowers,,
126,Sam,Wood,Sam Wood,###############################################################################################################################################################################################################################################################,22-09-1949
127,Cecil B.,DeMille,Cecil B. DeMille,###############################################################################################################################################################################################################################################################,21-01-1959
128,James,Gunn,James Gunn,05-08-1970,
130,Robert,Stromberg,Robert Stromberg,,
132,Anthony,Russo,Anthony Russo,,
135,Marc,Webb,Marc Webb,31-08-1974,
137,Matt,Reeves,Matt Reeves,27-04-1966,
138,Allan,Dwan,Allan Dwan,###############################################################################################################################################################################################################################################################,28-12-1981
139,Chris,Buck,Chris Buck,,
140,Shane,Black,Shane Black,16-12-1961,
141,Pierre,Coffin,Pierre Coffin,16-03-1967,
142,Justin,Lin,Justin Lin,12-10-1971,
143,Dan,Scanlon,Dan Scanlon,21-06-1976,
144,Alan,Taylor,Alan Taylor,,
145,Lana,Wachowski,Lana Wachowski,21-06-1965,
146,Christopher,McQuarrie,Christopher McQuarrie,12-06-1968,
147,James,Wan,James Wan,27-02-1977,
148,Colin,Trevorrow,Colin Trevorrow,13-09-1976,
149,Mike,Thurmeier,Mike Thurmeier,,
150,Bill,Condon,Bill Condon,22-10-1955,
151,Eric,Darnell,Eric Darnell,,
152,Gary,Ross,Gary Ross,03-11-1956,
153,Rob,Marshall,Rob Marshall,17-10-1960,
154,Jennifer,Yuh Nelson,Jennifer Yuh Nelson,07-05-1972,
155,Raja,Gosnell,Raja Gosnell,09-12-1958,
156,John,Lasseter,John Lasseter,12-01-1957,
157,Lee,Unkrich,Lee Unkrich,08-08-1967,
158,Mike,Mitchell,Mike Mitchell,18-10-1970,
159,David,Slade,David Slade,26-09-1969,
160,Jon,Favreau,Jon Favreau,19-10-1966,
161,Nathan,Greno,Nathan Greno,22-03-1975,
162,Dean,DeBlois,Dean DeBlois,07-06-1970,
163,Carlos,Saldanha,Carlos Saldanha,24-01-1965,
164,Chris,Weitz,Chris Weitz,30-11-1969,
165,Guy,Ritchie,Guy Ritchie,10-09-1968,
166,Mark,Osborne,Mark Osborne,17-09-1970,
167,Peter,Berg,Peter Berg,11-03-1962,
168,Phyllida,Lloyd,Phyllida Lloyd,17-06-1957,
169,Marc,Forster,Marc Forster,30-11-1969,
170,Andrew,Stanton,Andrew Stanton,03-12-1965,
171,Jon,Turteltaub,Jon Turteltaub,08-08-1963,
172,Shawn,Levy,Shawn Levy,,
173,George,Miller,George Miller,03-03-1945,
174,Andy,Tennant,Andy Tennant,,
175,Jay,Roach,Jay Roach,14-06-1957,
176,Vicky,Jenson,Vicky Jenson,,
177,Jonathan,Mostow,Jonathan Mostow,20-11-1961,
178,Byron,Howard,Byron Howard,26-12-1968,
179,Chris,Renaud,Chris Renaud,,
180,Tim,Miller,Tim Miller,,
181,David,Ayer,David Ayer,18-01-1968,
182,Stephen,Chow,Stephen Chow,22-06-1962,
183,Scott,Derrickson,Scott Derrickson,16-07-1966,
184,Joel,Zwick,Joel Zwick,11-01-1942,
185,Fernando,Meirelles,Fernando Meirelles,09-11-1955,
186,Stephen,Sommers,Stephen Sommers,20-03-1962,
187,Joe,Johnston,Joe Johnston,13-05-1950,
188,Nancy,Meyers,Nancy Meyers,08-12-1949,
189,Ralph,Zondag,Ralph Zondag,,
190,Kevin,Lima,Kevin Lima,,
191,Roger,Michell,Roger Michell,05-06-1956,
192,Peter,Farrelly,Peter Farrelly,17-12-1956,
193,Barry,Cook,Barry Cook,,
194,Betty,Thomas,Betty Thomas,27-07-1947,
195,John,Madden,John Madden,08-04-1949,
196,P. J.,Hogan,P. J. Hogan,30-11-1962,
197,Peter,Cattaneo,Peter Cattaneo,01-07-1964,
198,Jan,de Bont,Jan de Bont,22-10-1943,
199,Gary,Trousdale,Gary Trousdale,08-06-1960,
200,Stephen,Herek,Stephen Herek,10-11-1958,
201,Cameron,Crowe,Cameron Crowe,13-07-1957,
202,Chuck,Russell,Chuck Russell,09-05-1958,
203,Mike,Gabriel,Mike Gabriel,05-11-1954,
204,Joel,Schumacher,Joel Schumacher,29-08-1939,
205,Brad,Silberling,Brad Silberling,08-09-1963,
208,Brian,Levant,Brian Levant,06-08-1952,
209,Neil,Jordan,Neil Jordan,25-02-1950,
210,Sydney,Pollack,Sydney Pollack,01-07-1934,26-05-2008
211,Adrian,Lyne,Adrian Lyne,04-03-1941,
212,Nora,Ephron,Nora Ephron,19-05-1941,26-06-2012
213,Jonathan,Demme,Jonathan Demme,22-02-1944,
214,Alan J.,Pakula,Alan J. Pakula,07-04-1928,19-11-1998
215,Ron,Clements,Ron Clements,25-04-1953,
216,Mick,Jackson,Mick Jackson,04-10-1943,
217,Rob,Reiner,Rob Reiner,06-03-1947,
218,Emile,Ardolino,Emile Ardolino,09-05-1943,20-11-1993
219,Francis Ford,Coppola,Francis Ford Coppola,07-04-1939,
220,Penelope,Spheeris,Penelope Spheeris,02-12-1945,
221,Oliver,Stone,Oliver Stone,15-09-1946,
222,Jim,Abrahams,Jim Abrahams,10-05-1944,
223,Ron,Underwood,Ron Underwood,06-11-1953,
224,Jerry,Zucker,Jerry Zucker,11-03-1950,
225,Garry,Marshall,Garry Marshall,13-11-1934,19-07-2016
226,Steve,Barron,Steve Barron,04-05-1956,
227,Amy,Heckerling,Amy Heckerling,07-05-1954,
228,Barry,Levinson,Barry Levinson,06-04-1942,
229,John,Landis,John Landis,03-08-1950,
230,Penny,Marshall,Penny Marshall,15-10-1943,
231,John,Cornell,John Cornell,02-03-1941,
232,David,Zucker,David Zucker,16-10-1947,
233,Roger,Donaldson,Roger Donaldson,15-11-1945,
234,Norman,Jewison,Norman Jewison,21-07-1926,
235,Herbert,Ross,Herbert Ross,13-05-1927,09-10-2001
236,John,Badham,John Badham,25-08-1939,
237,Peter,Faiman,Peter Faiman,,
238,John G.,Avildsen,John G. Avildsen,21-12-1935,
239,Michael,Ritchie,Michael Ritchie,28-11-1938,
240,John,Hughes,John Hughes,18-02-1950,06-08-2009
241,George P.,Cosmatos,George P. Cosmatos,04-01-1941,
242,Sylvester,Stallone,Sylvester Stallone,06-07-1946,
243,Lewis,Teague,Lewis Teague,08-03-1938,
244,Martin,Brest,Martin Brest,08-08-1951,
245,Joe,Dante,Joe Dante,28-11-1946,
246,Hugh,Wilson,Hugh Wilson,21-08-1943,
247,James L.,Brooks,James L. Brooks,09-05-1940,
248,Taylor,Hackford,Taylor Hackford,31-12-1944,
249,Bob,Clark,Bob Clark,05-08-1939,04-04-2007
250,Walter,Hill,Walter Hill,10-01-1942,
251,Tobe,Hooper,Tobe Hooper,25-01-1943,
252,John,Huston,John Huston,05-08-1906,28-08-1987
253,Steve,Gordon,Steve Gordon,,27-11-1982
254,Hal,Needham,Hal Needham,06-03-1931,25-10-2013
255,Hugh,Hudson,Hugh Hudson,25-08-1936,
256,Terry,Gilliam,Terry Gilliam,22-11-1940,
257,Colin,Higgins,Colin Higgins,28-07-1941,05-08-1988
258,Sidney,Poitier,Sidney Poitier,20-02-1927,
259,Buddy,Van Horn,Buddy Van Horn,20-08-1929,
260,Howard,Zieff,Howard Zieff,21-10-1927,22-02-2009
261,Robert,Benton,Robert Benton,29-09-1932,
262,Stuart,Rosenberg,Stuart Rosenberg,11-08-1927,15-03-2007
263,Blake,Edwards,Blake Edwards,26-07-1922,15-12-2010
264,Carl,Reiner,Carl Reiner,20-03-1922,
265,James,Frawley,James Frawley,29-09-1936,
266,Randal,Kleiser,Randal Kleiser,20-07-1946,
267,James,Fargo,James Fargo,14-08-1938,
268,Jeannot,Szwarc,Jeannot Szwarc,21-11-1937,
269,George A.,Romero,George A. Romero,04-02-1940,
270,Michael,Cimino,Michael Cimino,03-02-1939,02-07-2016
271,Peter,Yates,Peter Yates,24-07-1929,09-01-2011
272,Woody,Allen,Woody Allen,01-12-1935,
273,Arthur,Hiller,Arthur Hiller,22-11-1923,17-08-2016
274,Jack,Smight,Jack Smight,09-03-1925,01-09-2003
275,Jim,Sharman,Jim Sharman,12-03-1945,
276,Milos,Forman,Milos Forman,18-02-1932,
277,Sidney,Lumet,Sidney Lumet,25-06-1924,09-04-2011
278,Hal,Ashby,Hal Ashby,02-09-1929,27-12-1988
279,Mel,Brooks,Mel Brooks,28-06-1926,
281,Mark,Robson,Mark Robson,04-12-1913,20-06-1978
282,Robert,Aldrich,Robert Aldrich,09-08-1918,05-12-1983
283,George Roy,Hill,George Roy Hill,20-12-1921,27-12-2002
284,William,Friedkin,William Friedkin,29-08-1935,
285,Franklin J.,Schaffner,Franklin J. Schaffner,30-05-1920,02-07-1989
287,Wolfgang,Reitherman,Wolfgang Reitherman,26-06-1909,22-05-1985
288,Ronald,Neame,Ronald Neame,23-04-1911,16-06-2010
289,John,Boorman,John Boorman,18-01-1933,
290,Bob,Fosse,Bob Fosse,23-06-1927,23-09-1987
291,Don,Siegel,Don Siegel,26-10-1912,20-04-1991
292,Stanley,Kubrick,Stanley Kubrick,26-07-1928,07-03-1999
293,Robert,Stevenson,Robert Stevenson,31-03-1905,30-04-1986
294,George,Seaton,George Seaton,17-04-1911,28-07-1979
295,Robert,Altman,Robert Altman,20-02-1925,20-11-2006
297,Richard,Fleischer,Richard Fleischer,08-12-1916,25-03-2006
298,John,Schlesinger,John Schlesinger,16-02-1926,25-07-2003
299,Dennis,Hopper,Dennis Hopper,17-05-1936,29-05-2010
300,Joshua,Logan,Joshua Logan,05-10-1908,12-07-1988
301,Henry,Hathaway,Henry Hathaway,###############################################################################################################################################################################################################################################################,11-02-1985
302,Gene,Saks,Gene Saks,08-11-1921,28-03-2015
303,Franco,Zeffirelli,Franco Zeffirelli,12-02-1923,
304,Carol,Reed,Carol Reed,30-12-1906,25-04-1976
306,Mike,Nichols,Mike Nichols,06-11-1931,19-11-2014
307,Arthur,Penn,Arthur Penn,27-09-1922,28-09-2010
308,Sergio,Leone,Sergio Leone,03-01-1929,30-04-1989
309,John,Frankenheimer,John Frankenheimer,19-02-1930,06-07-2002
310,David,Lean,David Lean,25-03-1908,16-04-1991
311,Clive,Donner,Clive Donner,21-01-1926,
312,George,Cukor,George Cukor,###############################################################################################################################################################################################################################################################,24-01-1983
313,Richard,Lester,Richard Lester,19-01-1932,
314,Joseph L.,Mankiewicz,Joseph L. Mankiewicz,11-02-1909,05-02-1993
315,John,Ford,John Ford,###############################################################################################################################################################################################################################################################,31-08-1973
316,Stanley,Kramer,Stanley Kramer,29-09-1913,19-02-2001
317,Alfred,Hitchcock,Alfred Hitchcock,###############################################################################################################################################################################################################################################################,29-04-1980
318,Ken,Annakin,Ken Annakin,10-08-1914,22-04-2009
319,Lewis,Milestone,Lewis Milestone,###############################################################################################################################################################################################################################################################,25-09-1980
320,Robert,Mulligan,Robert Mulligan,23-08-1925,20-12-2008
321,J. Lee,Thompson,J. Lee Thompson,01-08-1914,30-08-2002
322,Anthony,Mann,Anthony Mann,30-06-1906,29-04-1967
323,David,Swift,David Swift,27-07-1919,31-12-2001
324,Federico,Fellini,Federico Fellini,20-01-1920,31-10-1993
325,John,Wayne,John Wayne,26-05-1907,11-06-1979
326,William,Wyler,William Wyler,01-07-1902,27-07-1981
327,Billy,Wilder,Billy Wilder,22-06-1906,27-03-2002
328,Howard,Hawks,Howard Hawks,###############################################################################################################################################################################################################################################################,26-12-1977
329,Richard,Brooks,Richard Brooks,18-05-1912,11-03-1992
330,Charles,Vidor,Charles Vidor,27-07-1900,04-06-1959
331,John,Sturges,John Sturges,03-01-1910,18-08-1992
332,King,Vidor,King Vidor,###############################################################################################################################################################################################################################################################,01-11-1982
333,Walter,Lang,Walter Lang,###############################################################################################################################################################################################################################################################,07-02-1972
334,Charles,Walters,Charles Walters,17-11-1911,13-08-1982
335,Fred,Zinnemann,Fred Zinnemann,29-04-1907,14-03-1997
336,Clyde,Geronimi,Clyde Geronimi,12-06-1901,24-04-1989
337,Henry,Koster,Henry Koster,01-05-1905,21-09-1988
338,George,Stevens,George Stevens,18-12-1904,08-03-1975
339,Richard,Thorpe,Richard Thorpe,###############################################################################################################################################################################################################################################################,01-05-1991
340,Gene,Kelly,Gene Kelly,23-08-1912,02-02-1996
341,Elia,Kazan,Elia Kazan,07-09-1909,28-09-2003
342,Compton,Bennett,Compton Bennett,16-01-1900,11-08-1974
344,Sam,Wood,Sam Wood,###############################################################################################################################################################################################################################################################,22-09-1949
345,Michael,Curtiz,Michael Curtiz,###############################################################################################################################################################################################################################################################,10-04-1962
346,Sidney,Lanfield,Sidney Lanfield,###############################################################################################################################################################################################################################################################,20-06-1972
347,Alfred L.,Werker,Alfred L. Werker,###############################################################################################################################################################################################################################################################,28-07-1975
348,Charlie,Chaplin,Charlie Chaplin,###############################################################################################################################################################################################################################################################,25-12-1977
349,Victor,Fleming,Victor Fleming,###############################################################################################################################################################################################################################################################,06-01-1949
350,Frank,Lloyd,Frank Lloyd,###############################################################################################################################################################################################################################################################,10-08-1960
351,David,Hand,David Hand,24-01-1900,11-10-1986
352,Orson,Welles,Orson Welles,06-05-1915,10-10-1985
353,Fritz,Lang,Fritz Lang,###############################################################################################################################################################################################################################################################,02-08-1976
354,Clarence,Brown,Clarence Brown,###############################################################################################################################################################################################################################################################,17-08-1987
355,Julien,Duvivier,Julien Duvivier,###############################################################################################################################################################################################################################################################,29-10-1967
356,James,Whale,James Whale,###############################################################################################################################################################################################################################################################,29-05-1957
357,Tod,Browning,Tod Browning,###############################################################################################################################################################################################################################################################,06-10-1962
358,William A.,Wellman,William A. Wellman,###############################################################################################################################################################################################################################################################,09-12-1975
359,Frank,Capra,Frank Capra,###############################################################################################################################################################################################################################################################,03-09-1991
360,Robert,Siodmak,Robert Siodmak,08-08-1900,10-03-1973
361,Laurence,Olivier,Laurence Olivier,22-05-1907,11-07-1989
362,George,Sidney,George Sidney,04-10-1916,05-05-2002
363,Lo,Wei,Lo Wei,12-12-1918,20-01-1996
364,Bruce,Lee,Bruce Lee,27-11-1940,20-07-1973
365,Robert,Clouse,Robert Clouse,06-03-1928,04-02-1997
366,Terry,Jones,Terry Jones,01-02-1942,
367,Woo-ping,Yuen,Woo-ping Yuen,01-01-1945,
368,Chi-hwa,Chen,Chi-hwa Chen,,
369,Jackie,Chan,Jackie Chan,07-04-1954,
370,Hark,Tsui,Hark Tsui,15-02-1950,
371,Corey,Yuen,Corey Yuen,15-02-1951,
372,Gordon,Chan,Gordon Chan,,
373,Andrzej,Bartkowiak,Andrzej Bartkowiak,06-03-1950,
374,James,Wong,James Wong,20-04-1959,
375,Chris,Nahon,Chris Nahon,05-12-1968,
376,Louis,Leterrier,Louis Leterrier,17-06-1973,
377,Ronny,Yu,Ronny Yu,,
378,Peter,Chan,Peter Chan,28-11-1962,
379,Rob,Minkoff,Rob Minkoff,11-08-1962,
380,Simon,West,Simon West,,
381,Patrick,Hughes,Patrick Hughes,,
382,Desmond,Davis,Desmond Davis,24-05-1926,
384,Gareth,Evans,Gareth Evans,,
385,Prachya,Pinkaew,Prachya Pinkaew,02-09-1962,
387,Tony,Jaa,Tony Jaa,05-02-1976,
388,Wilson,Yip,Wilson Yip,23-10-1963,
389,Kon,Ichikawa,Kon Ichikawa,20-11-1915,13-02-2008
390,Hiroshi,Inagaki,Hiroshi Inagaki,30-12-1905,21-05-1980
391,Carl,Rinsch,Carl Rinsch,,
392,Takashi,Miike,Takashi Miike,24-08-1960,
393,Takeshi,Kitano,Takeshi Kitano,18-01-1947,
394,Kenneth,Branagh,Kenneth Branagh,10-12-1960,
395,Kinji,Fukasaku,Kinji Fukasaku,03-07-1930,12-01-2003
396,Tom,Kotani,Tom Kotani,,
397,Yojiro,Takita,Yojiro Takita,04-12-1955,
398,Yoji,Yamada,Yoji Yamada,13-09-1931,
399,Kenji,Misumi,Kenji Misumi,02-03-1921,24-09-1975
400,Buichi,Saito,Buichi Saito,,
401,Yoshiyuki,Kuroda,Yoshiyuki Kuroda,04-03-1928,
402,Ishiro,Honda,Ishiro Honda,07-05-1911,
403,Pierre,Morel,Pierre Morel,12-05-1964,
404,Patrick,Alessandrin,Patrick Alessandrin,17-05-1965,
405,Jean-Francois,Richet,Jean-Francois Richet,02-07-1966,
406,Jacques,Audiard,Jacques Audiard,30-04-1952,
407,Shane,Meadows,Shane Meadows,26-12-1972,
408,Steve,Bendelack,Steve Bendelack,,
409,Ben,Wheatley,Ben Wheatley,,
410,Stephen,Campanelli,Stephen Campanelli,,
411,Neill,Blomkamp,Neill Blomkamp,17-09-1979,
412,Jonathan,English,Jonathan English,,
413,Michael J.,Bassett,Michael J. Bassett,,
414,Brian,Helgeland,Brian Helgeland,17-01-1961,
415,Juan Carlos,Fresnadillo,Juan Carlos Fresnadillo,05-12-1967,
416,Henry,Hobson,Henry Hobson,,
417,Mikael,Hafstrom,Mikael Hafstrom,01-07-1960,
418,Kim,Jee-woon,Kim Jee-woon,06-07-1964,
419,McG,,McG,09-08-1968,
420,Peter,Hyams,Peter Hyams,26-07-1943,
421,John,Irvin,John Irvin,07-05-1940,
422,Mark L.,Lester,Mark L. Lester,26-11-1946,
423,John,Milius,John Milius,11-04-1944,
424,Marcus,Nispel,Marcus Nispel,26-05-1963,
425,George,Butler,George Butler,,
426,Arthur Allan,Seidelman,Arthur Allan Seidelman,,
427,Matthew,Vaughn,Matthew Vaughn,07-03-1971,
428,Patrick,Tatopoulos,Patrick Tatopoulos,,
429,Mans,Marlind,Mans Marlind,29-07-1969,
430,Anna,Foerster,Anna Foerster,,
431,Angelina,Jolie,Angelina Jolie,04-06-1975,
432,Alexander,Mackendrick,Alexander Mackendrick,08-09-1912,22-12-1993
433,Howard,McCain,Howard McCain,,
435,Sheldon,Lettich,Sheldon Lettich,14-01-1951,
436,Deran,Sarafian,Deran Sarafian,17-01-1958,
437,Mark,DiSalle,Mark DiSalle,,
438,Albert,Pyun,Albert Pyun,19-05-1953,
439,Newt,Arnold,Newt Arnold,22-02-1922,12-02-2000
440,Antoine,Fuqua,Antoine Fuqua,19-01-1966,
441,Mike,Hodges,Mike Hodges,29-07-1932,
442,Lee,Sang-il,Lee Sang-il,06-01-1974,
443,Ted,Post,Ted Post,31-03-1918,20-08-2013
444,Brian G.,Hutton,Brian G. Hutton,01-01-1935,19-08-2014
445,David S.,Goyer,David S. Goyer,22-12-1965,
446,Marco,Brambilla,Marco Brambilla,,
447,Kevin,Hooks,Kevin Hooks,19-09-1958,
448,Sam,Peckinpah,Sam Peckinpah,21-02-1925,28-12-1984
449,Tony,Kaye,Tony Kaye,08-07-1952,
450,Cy,Endfield,Cy Endfield,10-11-1914,16-04-1995
451,Paul,McGuigan,Paul McGuigan,19-09-1963,
452,Jose,Padilha,Jose Padilha,01-08-1967,
453,Kevin,Smith,Kevin Smith,02-08-1970,
454,Nicolas,Winding Refn,Nicolas Winding Refn,29-09-1970,
455,Ben,Stiller,Ben Stiller,30-11-1965,
456,Jim,Henson,Jim Henson,24-09-1936,16-05-1990
457,David,Lynch,David Lynch,20-01-1946,
458,Paul,Feig,Paul Feig,17-09-1962,
459,Conrad,Vernon,Conrad Vernon,11-07-1968,
460,Peter,Hewitt,Peter Hewitt,09-10-1962,
461,Terry,Zwigoff,Terry Zwigoff,18-05-1949,
462,Mark,Waters,Mark Waters,30-06-1964,
463,Gareth,Edwards,Gareth Edwards,01-06-1975,
464,Morten,Tyldum,Morten Tyldum,19-05-1967,
465,Alex,Garland,Alex Garland,26-05-1970,
466,Joe,Wright,Joe Wright,25-08-1972,
467,Bernard,Rose,Bernard Rose,04-08-1960,
468,Lasse,Hallstrom,Lasse Hallstrom,02-06-1946,
469,Anthony,Minghella,Anthony Minghella,06-01-1954,18-03-2008
470,Kathryn,Bigelow,Kathryn Bigelow,27-11-1951,
471,Ericson,Core,Ericson Core,,
472,Catherine,Hardwicke,Catherine Hardwicke,21-10-1955,
473,Niels Arden,Oplev,Niels Arden Oplev,26-03-1961,
474,Daniel,Alfredson,Daniel Alfredson,23-05-1959,
475,Chad,Stahelski,Chad Stahelski,20-09-1968,
476,Ingmar,Bergman,Ingmar Bergman,14-07-1918,30-07-2007
477,Alejandro G.,Inarritu,Alejandro G. Inarritu,15-08-1963,
478,Seth,MacFarlane,Seth MacFarlane,26-10-1973,
479,Tommy,Wirkola,Tommy Wirkola,06-12-1979,
480,Oliver,Owl,Oliver Owl,31-12-1989,
481,Wendy,Wise,Wendy Wise,31-12-1989,
482,Paul Thomas,Anderson,Paul Thomas Anderson,26-06-1970,
483,Jonathan,Hensleigh,Jonathan Hensleigh,,
484,James,Marsh,James Marsh,30-04-1963,
485,Rian,Johnson,Rian Johnson,17-12-1973,
486,Steve,McQueen,Steve McQueen,09-10-1969,
487,Denis,Villeneuve,Denis Villeneuve,03-10-1967,
488,James,Mangold,James Mangold,,
489,Tom,Hooper,Tom Hooper,05-10-1972,
490,Christopher,Smith,Christopher Smith,01-07-1972,
491,Justin,Chadwick,Justin Chadwick,06-12-1968,
492,George,Nolfi,George Nolfi,,
493,Peyton,Reed,Peyton Reed,03-07-1964,
494,Delmer,Daves,Delmer Daves,24-07-1904,17-08-1977
495,Christopher,Cain,Christopher Cain,29-10-1943,
496,Geoff,Murphy,Geoff Murphy,13-10-1938,
497,Phil,Lord,Phil Lord,12-07-1975,
